iter	Passed	Remaining
0	1	130
1	2	125
2	3	127
3	5	123
4	7	139
5	9	156
6	10	141
7	11	137
8	13	132
9	14	128
10	15	122
11	16	117
12	17	115
13	17	109
14	18	107
15	19	104
16	21	103
17	22	100
18	23	99
19	24	97
20	25	95
21	26	93
22	27	92
23	29	91
24	35	105
25	35	102
26	36	99
27	38	98
28	39	95
29	40	94
30	41	92
31	42	90
32	43	87
33	44	85
34	44	83
35	45	81
36	46	79
37	47	77
38	48	75
39	48	73
40	49	71
41	50	69
42	51	68
43	52	66
44	53	65
45	54	63
46	54	61
47	55	60
48	56	58
49	57	57
50	58	55
51	59	54
52	59	53
53	60	51
54	61	50
55	62	48
56	63	47
57	64	46
58	64	45
59	65	43
60	66	42
61	67	41
62	67	39
63	68	38
64	68	37
65	69	35
66	70	34
67	71	33
68	72	32
69	72	31
70	73	30
71	74	28
72	75	27
73	75	26
74	76	25
75	77	24
76	78	23
77	78	22
78	79	21
79	80	20
80	81	19
81	81	17
82	82	16
83	83	15
84	84	14
85	84	13
86	85	12
87	86	11
88	87	10
89	87	9
90	88	8
91	89	7
92	89	6
93	90	5
94	91	4
95	92	3
96	93	2
97	93	1
98	94	0
99	95	0
